DEPTH;MEASURED;DELTA;OBSERVED;TRANSIT;DELTA2;ACOUSTIC
4679,8;4400,2;;0,4762;0,5252;;
;;15;;;0,0014;11098
4694,8;4415,9;;0,4776;0,5266;;
;;15;;;0,0013;11312
4709,9;4431,6;;0,4789;0,5279;;
;;15;;;0,0013;11491
4724,9;4447,3;;0,4803;0,5292;;
;;15,1;;;0,0013;11654
4740;4463;;0,4816;0,5305;;
;;15,1;;;0,0013;11803
4755;4478,7;;0,4829;0,5318;;
;;15,1;;;0,0013;11904
4770,1;4494,4;;0,4842;0,5331;;
;;15,1;;;0,0013;11882
4785,1;4510,1;;0,4855;0,5343;;
;;15,1;;;0,0013;11784
4800,2;4525,8;;0,4869;0,5356;;
;;15,1;;;0,0013;11636
4815,3;4541,5;;0,4882;0,5369;;
;;15,1;;;0,0013;11444
4830,4;4557,2;;0,4895;0,5382;;
;;15,1;;;0,0014;11189
4845,5;4572,9;;0,4909;0,5396;;
;;15,1;;;0,0014;10920
4860,6;4588,6;;0,4924;0,541;;
;;15,1;;;0,0014;10683
4875,7;4604,3;;0,4938;0,5424;;
;;15,2;;;0,0014;10509
4890,9;4620;;0,4953;0,5438;;
;;15,2;;;0,0015;10447
4906,1;4635,7;;0,4968;0,5453;;
;;15,2;;;0,0014;10507
4921,2;4651,4;;0,4983;0,5467;;
;;15,2;;;0,0014;10680
4936,4;4667,1;;0,4997;0,5481;;
;;15,2;;;0,0014;10913
4951,6;4682,8;;0,5011;0,5495;;
;;15,2;;;0,0014;11086
4966,8;4698,5;;0,5026;0,5509;;
;;15,2;;;0,0014;11173
4982;4714,2;;0,5039;0,5523;;
;;15,2;;;0,0014;11171
4997,2;4729,9;;0,5053;0,5536;;
;;15,2;;;0,0014;11085
5012,4;4745,6;;0,5068;0,555;;
;;15,2;;;0,0014;10937
5027,6;4761,3;;0,5082;0,5564;;
;;15,2;;;0,0014;10734
5042,9;4777;;0,5096;0,5578;;
;;15,3;;;0,0014;10553
5058,1;4792,7;;0,5111;0,5593;;
;;15,3;;;0,0015;10427
5073,4;4808,4;;0,5126;0,5607;;
;;15,3;;;0,0015;10349
5088,6;4824,1;;0,5141;0,5622;;
;;15,3;;;0,0015;10287
